cost,prototypes,times,q,K,m,seed,name,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"7605,698284612213","[[1319, 1333], [254, 238], [685, 620], [1433, 1485], [25, 132], [504, 436], [1808, 1834], [1689, 1722], [504, 436], [1178, 1825]]",6,2,10,"1,2",18082079,fac,59,"0,6172104734749397","0,33246856902882493","0,6172104734749397","0,59492718995211","0,113","0,11801382735698902","0,887",381,191,237,221,210,0,189,225,239,107
"7597,7147727937445","[[132, 25], [840, 853], [504, 524], [1689, 1655], [1118, 1025], [685, 762], [1433, 1485], [1901, 1904], [254, 238], [1658, 1689]]",4,2,10,"1,2",18082080,fac,60,"0,6093868192022647","0,3428225068394134","0,6093868192022647","0,6024675369247332","0,2245","0,21594539031452734","0,7755",213,278,216,169,190,201,181,247,201,104
"7928,019164926488","[[1689, 1658], [436, 402], [25, 132], [436, 593], [685, 620], [534, 436], [1887, 1842], [436, 593], [772, 695], [1440, 1582]]",4,2,10,"1,2",18082081,fac,61,"0,7269609025988197","0,2288293177315519","0,7269609025988197","0,3965056413802863","0,0465","0,04383130365377785","0,9535",469,100,226,0,281,100,285,166,173,200
"7669,312605052881","[[1319, 1333], [25, 132], [1025, 1151], [1433, 1485], [685, 620], [685, 762], [1722, 1658], [1901, 1898], [1689, 1722], [588, 524]]",6,2,10,"1,2",18082082,fac,62,"0,6542336083652538","0,2898493182815781","0,6542336083652538","0,522095332879257","0,102","0,10763345792585148","0,898",364,194,222,187,155,147,69,295,153,214
"7639,333975767034","[[685, 762], [1433, 1485], [1825, 1864], [588, 524], [1810, 1904], [1760, 1722], [1760, 1764], [1319, 1333], [254, 238], [1760, 1722]]",6,2,10,"1,2",18082083,fac,63,"0,640235564541997","0,29986570553063063","0,640235564541997","0,5073282552084957","0,0055","0,005556638926841386","0,9945",227,188,154,215,177,0,234,400,200,205
"7869,5211996121425","[[1319, 1333], [479, 504], [1928, 1105], [593, 436], [25, 132], [1689, 1722], [1825, 1864], [773, 642], [749, 641], [658, 436]]",4,2,10,"1,2",18082084,fac,64,"0,7142027685622082","0,23045350957886812","0,7142027685622082","0,43641042583481937","0,0545","0,05002263766323504","0,9455",382,249,172,113,210,211,152,247,212,52
"7827,398672501119","[[749, 797], [504, 524], [1433, 1440], [1760, 1722], [1760, 1722], [1319, 1333], [1319, 1260], [1179, 749], [749, 797], [1764, 1722]]",4,2,10,"1,2",18082085,fac,65,"0,7329827478437745","0,18667121315802992","0,7329827478437745","0,4401955963826102","0,05600000000000001","0,052434987014349774","0,944",0,240,210,0,272,204,220,279,374,201
"7902,501482329563","[[685, 620], [593, 436], [426, 436], [749, 797], [436, 534], [1760, 1722], [1558, 1518], [436, 534], [1760, 1722], [1319, 1333]]",5,2,10,"1,2",18082086,fac,66,"0,7383887335015309","0,19949489310372892","0,7383887335015309","0,40337759171410353","0,129","0,10651640690042441","0,871",278,160,39,276,0,0,307,102,446,392
"7732,852937473455","[[1655, 1689], [1025, 1118], [840, 909], [1433, 1485], [1722, 1689], [749, 641], [1179, 1086], [588, 524], [1887, 1834], [25, 132]]",4,2,10,"1,2",18082087,fac,67,"0,6619996663552625","0,2865630071783646","0,6619996663552625","0,5062161730132871","0,0185","0,018236935526201876","0,9815",178,196,313,203,90,292,92,229,207,200
"7647,2074924326425","[[685, 762], [1433, 1485], [1834, 1887], [1760, 1722], [1319, 1333], [1722, 1689], [254, 238], [1689, 1655], [504, 588], [1760, 1722]]",6,2,10,"1,2",18082088,fac,68,"0,6520433398772707","0,29348394730721805","0,6520433398772707","0,5510323346765775","0,106","0,0878813491305997","0,894",240,218,229,0,375,75,194,158,243,268
"7819,937956240175","[[1689, 1764], [749, 797], [685, 762], [1760, 1722], [1179, 1825], [1319, 1333], [1760, 1722], [1433, 1485], [1689, 1693], [1964, 1854]]",7,2,10,"1,2",18082089,fac,69,"0,7238603156353984","0,21835141837301164","0,7238603156353984","0,4762322560296521","0,2615","0,24432172042834158","0,7384999999999999",125,206,203,0,160,390,253,362,117,184
"7722,16762081777","[[1881, 1859], [1689, 1655], [749, 1859], [132, 25], [892, 1366], [1179, 749], [1319, 1254], [685, 620], [479, 593], [504, 524]]",5,2,10,"1,2",18082090,fac,70,"0,6550016665695182","0,28588641520681113","0,6550016665695182","0,45758205373596605","0,174","0,18029558310073387","0,8260000000000001",248,222,116,228,170,141,227,271,228,149
"7801,722348935024","[[593, 436], [479, 491], [593, 436], [685, 620], [749, 641], [25, 132], [840, 972], [1689, 1722], [1887, 1842], [1658, 1693]]",5,2,10,"1,2",18082091,fac,71,"0,6946451150997475","0,2437124158659304","0,6946451150997475","0,436961313633421","0,2015","0,18213992691692624","0,7985",0,227,219,238,218,196,294,163,232,213
"7774,38700889374","[[685, 620], [132, 25], [692, 1715], [1319, 1333], [588, 479], [1901, 1898], [1118, 1025], [749, 1880], [773, 749], [1689, 1792]]",5,2,10,"1,2",18082092,fac,72,"0,6764543573004139","0,27626482283350484","0,6764543573004139","0,5139775794304097","0,0055","0,005365949020161014","0,9945",178,220,68,356,309,210,157,122,194,186
