cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8639,521331476599","[[588, 524], [1990, 1816], [1319, 1254], [1047, 1166], [840, 853], [426, 512], [1641, 1792], [1854, 1956], [132, 25], [1440, 1433]]",6,2,10,"1,1",18082070,50,"0,3159096388313501","0,6304999106614946","0,3159096388313501","0,5153142618431755","0,18249999999999997","0,17666688416284307","0,8175",210,193,238,290,174,85,185,206,229,190
"8582,37715771843","[[1151, 1025], [1319, 1254], [641, 665], [1016, 1080], [685, 755], [840, 853], [1433, 1485], [1854, 1964], [132, 25], [588, 524]]",7,2,10,"1,1",18082071,51,"0,30308004237301145","0,6440461215531488","0,30308004237301145","0,5758592446329219","0,086","0,0665173225042253","0,914",123,232,211,120,163,167,194,218,349,223
"8525,036549814991","[[1967, 1934], [1901, 1898], [588, 504], [238, 254], [1433, 1409], [132, 25], [1689, 1641], [1319, 1333], [1823, 1968], [685, 620]]",7,2,10,"1,1",18082072,52,"0,2826864931297768","0,6729287369077763","0,2826864931297768","0,5614621139016076","0,1045","0,09890568541088283","0,8955",106,133,228,190,172,229,216,374,95,257
"8461,959114492234","[[685, 762], [840, 853], [1016, 1080], [1901, 1898], [1689, 1792], [1319, 1254], [132, 25], [1854, 1956], [1433, 1409], [254, 238]]",5,2,10,"1,1",18082073,53,"0,2823745630998211","0,6706691669465945","0,2823745630998211","0,5956275902705224","0,006","0,0060202294365766665","0,994",205,160,140,188,199,233,219,161,299,196
"8554,69748647929","[[1689, 1641], [749, 641], [685, 762], [504, 524], [1834, 1887], [840, 969], [1433, 1485], [620, 685], [1319, 1254], [132, 25]]",5,2,10,"1,1",18082074,54,"0,32292576653911703","0,61105876395388","0,32292576653911703","0,563196468832652","0,0625","0,06101547832632835","0,9375",228,208,109,233,219,178,202,165,227,231
"8348,032788213388","[[1016, 1080], [1319, 1333], [588, 504], [1558, 1425], [840, 967], [685, 762], [1834, 1887], [1582, 1440], [132, 25], [278, 351]]",6,2,10,"1,1",18082075,55,"0,2337317956659227","0,7279691411835567","0,2337317956659227","0,6200518056703961","0,322","0,3120073902986972","0,6779999999999999",168,255,243,126,165,207,182,140,346,168
"8432,376550156501","[[1319, 1333], [1834, 1881], [254, 238], [504, 524], [1433, 1485], [685, 620], [840, 929], [1179, 1086], [567, 448], [132, 25]]",7,2,10,"1,1",18082076,56,"0,24848969245511923","0,7133832639903083","0,24848969245511923","0,6064952060979061","0,0295","0,028552552729967522","0,9705",256,211,187,171,199,233,160,149,75,359
"8677,891637547304","[[685, 620], [1810, 1901], [254, 238], [25, 132], [1689, 1722], [1760, 56], [1433, 1409], [1319, 1254], [840, 853], [1689, 1792]]",4,2,10,"1,1",18082077,57,"0,3461763565442621","0,592645971813181","0,3461763565442621","0,5084061930885855","0,0155","0,021393557422969188","0,9845",276,326,209,178,86,72,300,236,160,157
"8433,278870857224","[[685, 762], [504, 524], [1834, 1881], [1433, 1485], [1319, 1333], [528, 591], [132, 25], [840, 929], [254, 238], [1179, 1086]]",5,2,10,"1,1",18082078,58,"0,25200266848803543","0,7112541527321005","0,25200266848803543","0,6246675342650446","0,03","0,029279811375336327","0,97",214,159,205,196,256,89,359,160,192,170
"8473,654340637786","[[1319, 1333], [238, 254], [685, 762], [1433, 1485], [132, 25], [504, 420], [1854, 1964], [1016, 1080], [528, 462], [1937, 1848]]",5,2,10,"1,1",18082079,59,"0,25787144917539695","0,7074131560024994","0,25787144917539695","0,5524880160436954","0,1335","0,14304481413730083","0,8665",396,199,198,188,348,145,149,154,99,124
"8770,955022428016","[[132, 25], [840, 853], [588, 524], [1655, 1658], [1047, 1035], [249, 345], [1433, 1485], [1810, 1901], [254, 238], [1763, 1708]]",3,2,10,"1,1",18082080,60,"0,3372295580394346","0,605202559068132","0,3372295580394346","0,5406746940377566","0,213","0,20601906202594092","0,787",214,278,217,242,282,100,200,235,162,70
